,Created_at,Username,Tweet
120,2022-09-20 17:29:33+00:00,foylebuoy,"Water Temp:15.2 °C, Wave Height:0.2m, Wave Period:3s, Gust:6kts, Avg Wind:3kts, Wind Dir:180 °(S) at 20/09/2022 18:26:00"
121,2022-09-20 17:29:32+00:00,mahimohiu,RT @Quicktake: Protests erupted in Iran over the death of #MahsaAmini after she was detained by the country’s so-called “morality police” f…
122,2022-09-20 17:29:32+00:00,nuttyshe11,"RT @WatookaFilms: Watooka Films invites you to join us on Thursday September 29, 2022 for ""CinéSips: An Evening of Cocktail and Cinema"". Fe…"
123,2022-09-20 17:29:32+00:00,CERAP_Paris,"RT @NTenzer: By @PierreHaroche
""For 🇫🇷, a strong gesture could be to deliver about 50 Leclerc tanks, while taking charge of the training of…"
124,2022-09-20 17:29:32+00:00,MN_Chamber,"TODAY is #NationalVoterRegistrationDay! Visit the Chamber's 2022 Elections Toolkit to learn about registering, checking your registration status and view who will be on your ballot in November. #mnleg https://t.co/N0nZNbU1ZC https://t.co/UDUK5DOqoL"
125,2022-09-20 17:29:32+00:00,ochiengwally,"RT @CAROLINEKIBIWO4: I have presented my nomination papers to the clerk,County Assembly of Nandi as a candidate for the position of Speaker…"
126,2022-09-20 17:29:32+00:00,southhunterbuoy,"Water Temp:15.2 °C, Wave Height:0.3m, Wave Period:7s, Wave Dir:32 °(NE) at 20/09/2022 18:24:00"
127,2022-09-20 17:29:32+00:00,seasidebound01,RT @Forbes: Slovenia Is Giving Ukraine Some Very Old Tanks. But Age Can Be Deceiving. https://t.co/aoRQ99xSf6
128,2022-09-20 17:29:32+00:00,seulrity,"RT @OfficialPnation: [Crush]
Crush 'Rush Hour (Feat. j-hope of BTS)'

🔗https://t.co/QDNpWOBOOh

2022.09.22 (THU) 6PM KST

#Crush #크러쉬
#Rush…"
129,2022-09-20 17:29:32+00:00,Edged_In_Blue,RT @patmcfaddenmp: Labour go on the attack over Truss’s energy plans.  12 long years of low growth.  A refusal to raise funds fairly.  And…
130,2022-09-20 17:29:32+00:00,Jslpb99,"RT @billboardcharts: The #HotTrendingSongs, powered by @Twitter, top 10 (chart dated Sept. 24, 2022)"
131,2022-09-20 17:29:32+00:00,ssengabigeoffr2,"⚡️Lukashenko said that they also want to create a ""new Ukraine"" on the territory of #Belarus #Donestk #Ukraine #Lugansk https://t.co/nmpulsNWLn
#UkraineRussiaWar #Ukrainian #Russia #RussiaUkraineWar #Russians #RussianWarCrimes #Iran #USA #ukrainecounteroffensive #Putin #Iran"
132,2022-09-20 17:29:32+00:00,DeepLearn007,"RT @DeepLearn007: Thank You To @MagazineAwards For Placing Me In The Global Tech Thought Leaders
https://t.co/buEoFP0vbA

@pierrepinna @sal…"
133,2022-09-20 17:29:32+00:00,RaymondKIMATHI,"RT @panos_panay: On behalf of the team, I’m proud to share the latest update to @Windows 11 begins rolling out today. Pumped for you to che…"
134,2022-09-20 17:29:32+00:00,rosaliasooya,"RT @PopCrave: Bad Bunny leads the 2022 Latin Grammy nominations with 10 nods, including ‘Album of the Year.’ https://t.co/S4OirwEOFK"
135,2022-09-20 17:29:32+00:00,JungkooksLanie,"RT @OfficialPnation: [Crush]
Crush 'Rush Hour (Feat. and Starring j-hope of BTS)' MV Teaser 2

🔗 https://t.co/QDNpWOBOOh

2022.09.22 (THU)…"
136,2022-09-20 17:29:32+00:00,pjbutlin50,"RT @BrianGitt: Lithium prices surge 3X in the past year inflating the cost of batteries used for electric vehicles (EV).

Batteries account…"
137,2022-09-20 17:29:32+00:00,Tigraywukro11,"RT @martinplaut: ""We have been tracking Eritrean troops' movement across the border ... and we condemn it,"" Mike Hammer told reporters in a…"
138,2022-09-20 17:29:32+00:00,punk2009ct,RT @DEFCONWSALERTS: Xi Jinping and China’s endgame for America - https://t.co/s1Y0pVu8dU https://t.co/zPfNujpjb5
139,2022-09-20 17:29:32+00:00,jfsullivan4th,The Pharmacist’s Lament 😬(2022) https://t.co/oQQCCb741y
